feature,importance
arrival_delay_min,0.2821268
connection_time_min,0.10756565
is_intl_hub,0.06864598
day_of_week,0.057672787
immigration_time_min,0.052852333
departure_hour,0.04317365
is_major_airport,0.03508681
walking_time_min,0.029714016
terminal_walk_time_min,0.028572248
flight_date,0.022885993
arrival.scheduled,0.022101413
terminal_distance_m,0.02000792
security_time_min,0.019399323
departure.scheduled,0.018183865
scheduled_flight_min,0.017637014
is_peak_hour,0.016957376
terminal_change,0.016646735
arrival.iata,0.015673872
immigration_crowd,0.014400414
transport_friction,0.014292492
departure.gate,0.013907694
arrival.terminal,0.013686161
terminal_transport_method,0.013310995
departure.iata,0.013123453
departure.terminal,0.012018983
airline.iata,0.0099605555
security_crowd,0.009882567
congestion_time_min,0.009786978
is_cross_airport,0.00072592177
has_delay_info,0.0
baggage_time_min,0.0
