feature,importance
arrival_delay_min,0.30165997
connection_time_min,0.11142401
is_intl_hub,0.07198715
immigration_time_min,0.05256746
departure_hour,0.04778206
walking_time_min,0.034609877
terminal_walk_time_min,0.029263372
is_major_airport,0.026577633
arrival.scheduled,0.025557091
scheduled_flight_min,0.02053759
terminal_change,0.019951748
departure.scheduled,0.018764533
arr_sched,0.01787254
arrival.iata,0.017306238
departure.gate,0.016994547
is_peak_hour,0.016318439
immigration_crowd,0.016235322
arrival.terminal,0.015941538
security_time_min,0.015128346
terminal_transport_method,0.014914731
dep_sched,0.014793311
departure.terminal,0.014483523
transport_friction,0.014412073
departure.iata,0.014400102
security_crowd,0.014135984
flight_date,0.013355536
airline.iata,0.011345473
congestion_time_min,0.009308521
is_cross_airport,0.0023713037
day_of_week,0.0
has_delay_info,0.0
baggage_time_min,0.0
